CountryName,CountryCode,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,30.652,29.582,28.512,27.3444,26.1768,25.0092,23.8416,22.674
Afghanistan,AFG,113.715,107.256,100.797,94.429,88.061,81.693,75.325,68.957
Angola,AGO,172.9316,170.1658,167.4,164.0252,160.6504,157.2756,153.9008,150.526
Albania,ALB,19.8208,20.2754,20.73,20.5124,20.2948,20.0772,19.8596,19.642
Arab World,ARB,49.96689653,49.86689093,49.79082562,49.34496325,48.85366465,48.27973701,47.50548913,46.68885146
United Arab Emirates,ARE,22.0208,19.3954,16.77,14.7252,12.6804,10.6356,8.5908,6.546
Argentina,ARG,63.3154,63.4412,63.567,63.41,63.253,63.096,62.939,62.782
Armenia,ARM,26.0192,25.4306,24.842,24.1716,23.5012,22.8308,22.1604,21.49
Antigua and Barbuda,ATG,48.664,47.832,47,46.1564,45.3128,44.4692,43.6256,42.782
Australia,AUS,14.2212,13.2616,12.302,12.1846,12.0672,11.9498,11.8324,11.715
Austria,AUT,9.5292,8.9966,8.464,8.2392,8.0144,7.7896,7.5648,7.34
Azerbaijan,AZE,44.938,47.089,49.24,50.5596,51.8792,53.1988,54.5184,55.838
Burundi,BDI,62.4852,61.5876,60.69,59.67,58.65,57.63,56.61,55.59
Belgium,BEL,7.6294,6.8292,6.029,5.7534,5.4778,5.2022,4.9266,4.651
Benin,BEN,101.2906,98.8278,96.365,94.3112,92.2574,90.2036,88.1498,86.096
Burkina Faso,BFA,121.1052,118.2566,115.408,113.1922,110.9764,108.7606,106.5448,104.329
Bangladesh,BGD,90.8034,89.7042,88.605,87.4764,86.3478,85.2192,84.0906,82.962
Bulgaria,BGR,44.7368,44.2464,43.756,42.9768,42.1976,41.4184,40.6392,39.86
Bahrain,BHR,14.3106,14.1518,13.993,13.868,13.743,13.618,13.493,13.368
"Bahamas, The",BHS,35.4638,34.1304,32.797,32.2378,31.6786,31.1194,30.5602,30.001
Bosnia and Herzegovina,BIH,13.7102,12.8836,12.057,11.574,11.091,10.608,10.125,9.642
Belarus,BLR,21.7498,21.5614,21.373,19.9998,18.6266,17.2534,15.8802,14.507
Belize,BLZ,75.0698,73.8744,72.679,71.8406,71.0022,70.1638,69.3254,68.487
Bolivia,BOL,76.5038,74.6964,72.889,71.2912,69.6934,68.0956,66.4978,64.9
Brazil,BRA,66.8926,65.4728,64.053,63.0646,62.0762,61.0878,60.0994,59.111
Barbados,BRB,44.5574,43.6332,42.709,40.8772,39.0454,37.2136,35.3818,33.55
Brunei Darussalam,BRN,15.8874,15.1642,14.441,13.6072,12.7734,11.9396,11.1058,10.272
Bhutan,BTN,35.951,31.97,27.989,26.428,24.867,23.306,21.745,20.184
Botswana,BWA,48.354,48.252,48.15,47.7322,47.3144,46.8966,46.4788,46.061
Central African Republic,CAF,140.637,139.551,138.465,136.5868,134.7086,132.8304,130.9522,129.074
Canada,CAN,12.3672,11.9306,11.494,10.8726,10.2512,9.6298,9.0084,8.387
Central Europe and the Baltics,CEB,21.4866074,21.02007794,20.62863773,20.42772224,20.24953678,20.06562046,19.86873567,19.67908304
Switzerland,CHE,3.9014,3.7022,3.503,3.355,3.207,3.059,2.911,2.763
Channel Islands,CHI,9.6254,9.1942,8.763,8.3832,8.0034,7.6236,7.2438,6.864
Chile,CHL,54.3068,54.0544,53.802,51.252,48.702,46.152,43.602,41.052
China,CHN,7.3422,7.3596,7.377,7.4286,7.4802,7.5318,7.5834,7.635
Cote d'Ivoire,CIV,127.4294,125.9212,124.413,123.0558,121.6986,120.3414,118.9842,117.627
Cameroon,CMR,125.2854,123.1222,120.959,117.9272,114.8954,111.8636,108.8318,105.8
"Congo, Dem. Rep.",COD,129.9144,129.6292,129.344,128.3192,127.2944,126.2696,125.2448,124.22
"Congo, Rep.",COG,119.238,118.792,118.346,117.1226,115.8992,114.6758,113.4524,112.229
Colombia,COL,76.8484,75.0832,73.318,71.9846,70.6512,69.3178,67.9844,66.651
Comoros,COM,76.4744,75.4602,74.446,72.627,70.808,68.989,67.17,65.351
Cabo Verde,CPV,82.6178,80.6344,78.651,77.6726,76.6942,75.7158,74.7374,73.759
Costa Rica,CRI,61.2882,60.5276,59.767,58.5056,57.2442,55.9828,54.7214,53.46
Caribbean small states,CSS,61.26006626,59.6228876,57.92436212,56.70022979,55.44673457,54.17212646,52.83205438,51.47586514
Cuba,CUB,51.2666,52.5098,53.753,53.3208,52.8886,52.4564,52.0242,51.592
Curacao,CUW,35.9156,35.5008,35.086,33.6572,32.2284,30.7996,29.3708,27.942
Cyprus,CYP,5.6706,5.4158,5.161,5.0452,4.9294,4.8136,4.6978,4.582
Czech Republic,CZE,10.898,10.825,10.752,10.996,11.24,11.484,11.728,11.972
Germany,DEU,8.7462,8.4046,8.063,8.0694,8.0758,8.0822,8.0886,8.095
Djibouti,DJI,23.152,22.432,21.712,21.1378,20.5636,19.9894,19.4152,18.841
Denmark,DNK,5.0092,4.7226,4.436,4.3734,4.3108,4.2482,4.1856,4.123
Dominican Republic,DOM,100.4048,98.9964,97.588,96.9224,96.2568,95.5912,94.9256,94.26
Algeria,DZA,10.8084,11.1822,11.556,11.259,10.962,10.665,10.368,10.071
East Asia & Pacific (excluding high income),EAP,21.37192919,21.99465397,22.43961382,22.40647283,22.33355102,22.2894996,22.22011503,22.14120926
Early-demographic dividend,EAR,48.36599084,46.84044998,45.29919725,43.68151542,42.0421024,40.3852276,38.68420364,36.98228784
East Asia & Pacific,EAS,20.07211404,20.58808173,20.95573975,20.91159052,20.83737778,20.79272915,20.7301823,20.66823116
Europe & Central Asia (excluding high income),ECA,30.27345495,30.03105379,29.79425385,29.16705891,28.53019431,27.87273689,27.18529382,26.46074373
Europe & Central Asia,ECS,20.97421834,20.47349803,19.96680345,19.36126002,18.77737945,18.21259559,17.64146802,17.0931735
Ecuador,ECU,83.0816,82.9128,82.744,82.0474,81.3508,80.6542,79.9576,79.261
"Egypt, Arab Rep.",EGY,53.1962,54.4776,55.759,55.371,54.983,54.595,54.207,53.819
Euro area,EMU,8.584276328,8.180126385,7.780091157,7.554894109,7.332392666,7.114383033,6.893647809,6.673134152
Eritrea,ERI,66.6218,63.4694,60.317,58.7642,57.2114,55.6586,54.1058,52.553
Spain,ESP,10.4792,9.7256,8.972,8.7226,8.4732,8.2238,7.9744,7.725
Estonia,EST,18.7038,17.4174,16.131,14.4444,12.7578,11.0712,9.3846,7.698
Ethiopia,ETH,81.436,79.707,77.978,75.7278,73.4776,71.2274,68.9772,66.727
European Union,EUU,12.83586425,12.24391887,11.65605924,11.2607926,10.87391331,10.49255653,10.10931047,9.736329752
Fragile and conflict affected situations,FCS,97.3663043,95.95876293,94.55410867,93.08009271,91.60007887,90.12002472,88.64195197,87.17450683
Finland,FIN,8.1462,7.7846,7.423,7.101,6.779,6.457,6.135,5.813
Fiji,FJI,45.639,45.771,45.903,46.593,47.283,47.973,48.663,49.353
France,FRA,6.888,6.768,6.648,6.2638,5.8796,5.4954,5.1112,4.727
"Micronesia, Fed. Sts.",FSM,21.304,19.93,18.556,17.6296,16.7032,15.7768,14.8504,13.924
Gabon,GAB,110.4104,108.2882,106.166,104.1782,102.1904,100.2026,98.2148,96.227
United Kingdom,GBR,21.2306,19.8548,18.479,17.4572,16.4354,15.4136,14.3918,13.37
Georgia,GEO,51.2912,51.4696,51.648,50.6,49.552,48.504,47.456,46.408
Ghana,GHA,72.5644,72.1702,71.776,70.743,69.71,68.677,67.644,66.611
Guinea,GIN,149.6754,147.7742,145.873,143.7572,141.6414,139.5256,137.4098,135.294
"Gambia, The",GMB,95.9158,93.4044,90.893,88.3514,85.8098,83.2682,80.7266,78.185
Guinea-Bissau,GNB,112.732,110.266,107.8,107.2046,106.6092,106.0138,105.4184,104.823
Equatorial Guinea,GNQ,169.9012,168.3386,166.776,164.5452,162.3144,160.0836,157.8528,155.622
Greece,GRC,9.6486,9.0938,8.539,8.2758,8.0126,7.7494,7.4862,7.223
Grenada,GRD,38.178,36.768,35.358,34.1218,32.8856,31.6494,30.4132,29.177
Guatemala,GTM,82.7946,80.6828,78.571,77.0428,75.5146,73.9864,72.4582,70.93
Guam,GUM,42.0748,40.3864,38.698,37.301,35.904,34.507,33.11,31.713
Guyana,GUY,86.8688,84.9654,83.062,81.326,79.59,77.854,76.118,74.382
High income,HIC,18.33796989,17.36625991,16.36049355,15.57226255,14.78795342,14.01828068,13.26073984,12.51442494
"Hong Kong SAR, China",HKG,3.0146,3.0178,3.021,2.9578,2.8946,2.8314,2.7682,2.705
Honduras,HND,86.1388,83.1164,80.094,78.6576,77.2212,75.7848,74.3484,72.912
Heavily indebted poor countries (HIPC),HPC,116.074402,113.8777442,111.6782536,109.6140691,107.5675517,105.5518698,103.5626598,101.6108324
Croatia,HRV,12.5344,11.8532,11.172,10.6738,10.1756,9.6774,9.1792,8.681
Haiti,HTI,59.5088,58.5374,57.566,56.388,55.21,54.032,52.854,51.676
Hungary,HUN,20.0066,20.1608,20.315,21.0478,21.7806,22.5134,23.2462,23.979
IBRD only,IBD,35.65769702,34.99490969,34.15344426,33.04695848,31.88238305,30.70624506,29.48938578,28.24988936
IDA & IBRD total,IBT,51.94030456,51.52571068,50.93288472,50.08909551,49.19166319,48.29055343,47.33632509,46.36324673
IDA total,IDA,93.10602336,91.88284883,90.69664331,89.44509392,88.19883096,86.95464545,85.70359501,84.46150463
IDA blend,IDB,77.47657302,76.8761175,76.38913526,75.42752352,74.49745346,73.57813334,72.62883648,71.69491225
Indonesia,IDN,50.887,50.681,50.475,49.8548,49.2346,48.6144,47.9942,47.374
IDA only,IDX,100.9816591,99.39778871,97.81647445,96.38273368,94.94873999,93.51896872,92.09778251,90.69002956
India,IND,34.6548,31.3534,28.052,25.077,22.102,19.127,16.152,13.177
Ireland,IRL,12.9784,11.8782,10.778,10.1254,9.4728,8.8202,8.1676,7.515
"Iran, Islamic Rep.",IRN,33.3566,33.9638,34.571,35.7838,36.9966,38.2094,39.4222,40.635
Iraq,IRQ,77.235,78.364,79.493,77.941,76.389,74.837,73.285,71.733
Iceland,ISL,11.336,10.348,9.36,8.7418,8.1236,7.5054,6.8872,6.269
Israel,ISR,12.541,12.042,11.543,11.1558,10.7686,10.3814,9.9942,9.607
Italy,ITA,6.336,6.115,5.894,5.7632,5.6324,5.5016,5.3708,5.24
Jamaica,JAM,66.0636,63.4088,60.754,59.1546,57.5552,55.9558,54.3564,52.757
Jordan,JOR,29.0956,28.5898,28.084,27.6426,27.2012,26.7598,26.3184,25.877
Japan,JPN,4.733,4.606,4.479,4.3392,4.1994,4.0596,3.9198,3.78
Kazakhstan,KAZ,30.0072,30.6586,31.31,30.998,30.686,30.374,30.062,29.75
Kenya,KEN,90.5286,88.3408,86.153,83.938,81.723,79.508,77.293,75.078
Kyrgyz Republic,KGZ,38.3092,41.1636,44.018,41.767,39.516,37.265,35.014,32.763
Cambodia,KHM,48.0808,48.4484,48.816,49.0882,49.3604,49.6326,49.9048,50.177
Kiribati,KIR,23.5756,22.3548,21.134,20.1426,19.1512,18.1598,17.1684,16.177
"Korea, Rep.",KOR,1.8592,1.8126,1.766,1.6886,1.6112,1.5338,1.4564,1.379
Kuwait,KWT,11.0072,10.2266,9.446,9.1956,8.9452,8.6948,8.4444,8.194
Latin America & Caribbean (excluding high income),LAC,71.04160391,69.88447321,68.71715544,67.72908173,66.73955783,65.74986275,64.73229828,63.72442549
Lao PDR,LAO,69.4152,68.5406,67.666,67.2148,66.7636,66.3124,65.8612,65.41
Lebanon,LBN,15.9036,16.1888,16.474,16.0792,15.6844,15.2896,14.8948,14.5
Liberia,LBR,139.8972,139.4696,139.042,138.426,137.81,137.194,136.578,135.962
Libya,LBY,6.175,6.15,6.125,6.0538,5.9826,5.9114,5.8402,5.769
St. Lucia,LCA,45.7624,44.9632,44.164,43.4384,42.7128,41.9872,41.2616,40.536
Latin America & Caribbean,LCN,70.40281546,69.29663132,68.18289126,67.16443031,66.14577082,65.12532768,64.08009251,63.04329228
Least developed countries: UN classification,LDC,105.5946484,103.7973009,102.0080341,100.3810995,98.7583458,97.14636445,95.5620088,93.99906341
Low income,LIC,108.804762,107.055632,105.339843,103.7490833,102.1701792,100.6065434,99.04845242,97.5156845
Sri Lanka,LKA,22.0238,21.9354,21.847,21.6628,21.4786,21.2944,21.1102,20.926
Lower middle income,LMC,53.76051288,52.18634516,50.62275053,48.92889506,47.24233567,45.56061268,43.85118607,42.15844557
Low & middle income,LMY,51.91303483,51.4935871,50.89658083,50.05487613,49.1592485,48.25954475,47.30683033,46.33479406
Lesotho,LSO,88.1596,88.5858,89.012,89.7548,90.4976,91.2404,91.9832,92.726
Late-demographic dividend,LTE,22.13610548,22.40476375,22.49724447,22.21995135,21.90991843,21.62776749,21.33685606,21.02959013
Lithuania,LTU,15.6248,14.5264,13.428,12.9132,12.3984,11.8836,11.3688,10.854
Luxembourg,LUX,7.6928,7.0484,6.404,6.0686,5.7332,5.3978,5.0624,4.727
Latvia,LVA,16.437,15.863,15.289,15.4654,15.6418,15.8182,15.9946,16.171
"Macao SAR, China",MAC,3.262,3.234,3.206,3.041,2.876,2.711,2.546,2.381
Morocco,MAR,33.256,33.437,33.618,33.1012,32.5844,32.0676,31.5508,31.034
Moldova,MDA,26.3258,26.0464,25.767,25.0966,24.4262,23.7558,23.0854,22.415
Madagascar,MDG,125.7288,122.8804,120.032,117.9436,115.8552,113.7668,111.6784,109.59
Maldives,MDV,12.6116,11.7038,10.796,10.1988,9.6016,9.0044,8.4072,7.81
Middle East & North Africa,MEA,39.45218063,40.02511194,40.63096265,40.63950426,40.60177245,40.49882283,40.24269905,39.97067811
Mexico,MEX,67.7,66.835,65.97,64.849,63.728,62.607,61.486,60.365
Middle income,MIC,44.06646459,43.54241479,42.8490006,41.88744451,40.8753846,39.85907879,38.79651393,37.71535545
North Macedonia,MKD,19.0902,18.5546,18.019,17.5598,17.1006,16.6414,16.1822,15.723
Mali,MLI,181.5306,180.2178,178.905,176.9494,174.9938,173.0382,171.0826,169.127
Malta,MLT,15.1846,14.2358,13.287,13.2054,13.1238,13.0422,12.9606,12.879
Myanmar,MMR,31.1472,30.4866,29.826,29.5626,29.2992,29.0358,28.7724,28.509
Middle East & North Africa (excluding high income),MNA,42.76533886,43.50580026,44.26239788,44.33732096,44.34149383,44.25901576,44.09890258,43.89061607
Montenegro,MNE,15.4848,14.4074,13.33,12.5266,11.7232,10.9198,10.1164,9.313
Mongolia,MNG,23.6306,25.1058,26.581,27.4634,28.3458,29.2282,30.1106,30.993
Mozambique,MOZ,163.8182,161.4816,159.145,157.0412,154.9374,152.8336,150.7298,148.626
Mauritania,MRT,81.7326,80.3748,79.017,77.4234,75.8298,74.2362,72.6426,71.049
Mauritius,MUS,30.9766,29.6788,28.381,27.8518,27.3226,26.7934,26.2642,25.735
Malawi,MWI,148.357,146.3,144.243,141.9286,139.6142,137.2998,134.9854,132.671
Malaysia,MYS,12.9878,13.0684,13.149,13.202,13.255,13.308,13.361,13.414
North America,NAC,30.75246997,28.59377518,26.43571245,24.91439329,23.39954189,21.89034015,20.37352578,18.85597391
Namibia,NAM,79.8124,79.3972,78.982,75.911,72.84,69.769,66.698,63.627
New Caledonia,NCL,18.9734,18.3332,17.693,17.1204,16.5478,15.9752,15.4026,14.83
Niger,NER,204.293,202.518,200.743,197.902,195.061,192.22,189.379,186.538
Nigeria,NGA,119.5004,118.2752,117.05,115.106,113.162,111.218,109.274,107.33
Nicaragua,NIC,97.2976,95.6208,93.944,92.1532,90.3624,88.5716,86.7808,84.99
Netherlands,NLD,4.7864,4.6172,4.448,4.316,4.184,4.052,3.92,3.788
Norway,NOR,7.1886,6.6138,6.039,5.8594,5.6798,5.5002,5.3206,5.141
Nepal,NPL,81.2006,78.6348,76.069,73.8794,71.6898,69.5002,67.3106,65.121
New Zealand,NZL,25.7978,24.3634,22.929,22.1972,21.4654,20.7336,20.0018,19.27
OECD members,OED,26.37729434,25.39902529,24.37411993,23.54927116,22.72939505,21.92948766,21.12760459,20.34621465
Oman,OMN,14.4338,14.7134,14.993,14.6056,14.2182,13.8308,13.4434,13.056
Other small states,OSS,67.47473283,66.47348395,65.53408196,64.82039737,64.10053514,63.33414649,62.47311307,61.55142208
Pakistan,PAK,42.3362,41.9206,41.505,40.9644,40.4238,39.8832,39.3426,38.802
Panama,PAN,87.2886,87.0748,86.861,85.8544,84.8478,83.8412,82.8346,81.828
Peru,PER,66.0112,64.1646,62.318,61.2308,60.1436,59.0564,57.9692,56.882
Philippines,PHL,56.2002,56.7396,57.279,56.654,56.029,55.404,54.779,54.154
Papua New Guinea,PNG,58.3852,57.4796,56.574,55.7902,55.0064,54.2226,53.4388,52.655
Poland,POL,14.9762,14.6546,14.333,13.574,12.815,12.056,11.297,10.538
Pre-demographic dividend,PRE,123.8552427,121.7675145,119.659651,117.4683742,115.2904907,113.1416185,111.0213908,108.9288085
Puerto Rico,PRI,47.5972,46.5956,45.594,42.2948,38.9956,35.6964,32.3972,29.098
"Korea, Dem. People’s Rep.",PRK,0.435,0.372,0.309,0.3038,0.2986,0.2934,0.2882,0.283
Portugal,PRT,13.3428,12.3784,11.414,10.8072,10.2004,9.5936,8.9868,8.38
Paraguay,PRY,75.0962,74.0116,72.927,72.4424,71.9578,71.4732,70.9886,70.504
West Bank and Gaza,PSE,62.806,61.799,60.792,59.1868,57.5816,55.9764,54.3712,52.766
Pacific island small states,PSS,47.82039688,48.57672851,49.37738859,49.58419475,49.78082739,49.98373239,50.17629672,50.41950061
Post-demographic dividend,PST,18.65961192,17.60457481,16.52366446,15.7272978,14.93544371,14.15781164,13.39717628,12.64914528
French Polynesia,PYF,41.2882,41.2236,41.159,40.6648,40.1706,39.6764,39.1822,38.688
Qatar,QAT,12.8584,12.0632,11.268,10.9988,10.7296,10.4604,10.1912,9.922
Romania,ROU,38.5894,37.5752,36.561,36.491,36.421,36.351,36.281,36.211
Russian Federation,RUS,27.7092,27.0646,26.42,25.2758,24.1316,22.9874,21.8432,20.699
Rwanda,RWA,40.495,40.52,40.545,40.2588,39.9726,39.6864,39.4002,39.114
South Asia,SAS,43.31045306,40.65958392,38.00789492,35.57150164,33.11449949,30.63498048,28.1174953,25.58497242
Saudi Arabia,SAU,11.1736,10.7918,10.41,9.7928,9.1756,8.5584,7.9412,7.324
Sudan,SDN,92.1528,86.0804,80.008,76.805,73.602,70.399,67.196,63.993
Senegal,SEN,87.5702,85.5856,83.601,81.4258,79.2506,77.0754,74.9002,72.725
Singapore,SGP,4.7298,4.3194,3.909,3.8332,3.7574,3.6816,3.6058,3.53
Solomon Islands,SLB,71.8502,74.9266,78.003,78.003,78.003,78.003,78.003,78.003
Sierra Leone,SLE,134.3892,130.4906,126.592,123.8392,121.0864,118.3336,115.5808,112.828
El Salvador,SLV,77.1074,75.3112,73.515,72.7038,71.8926,71.0814,70.2702,69.459
Somalia,SOM,117.0728,113.7244,110.376,108.3178,106.2596,104.2014,102.1432,100.085
Serbia,SRB,20.1792,19.4716,18.764,17.9524,17.1408,16.3292,15.5176,14.706
Sub-Saharan Africa (excluding high income),SSA,115.1808462,113.5561182,111.9115485,110.0527442,108.2091024,106.3886147,104.5783017,102.7908548
South Sudan,SSD,86.1788,82.1264,78.074,74.8672,71.6604,68.4536,65.2468,62.04
Sub-Saharan Africa,SSF,115.176701,113.5524139,111.9081406,110.0496072,108.2062239,106.385944,104.5758405,102.7885852
Small states,SST,65.03788788,64.02630334,63.05381885,62.30508466,61.54941055,60.76192254,59.9061826,59.01540835
Sao Tome and Principe,STP,102.6524,101.5492,100.446,99.2788,98.1116,96.9444,95.7772,94.61
Suriname,SUR,68.2796,66.8848,65.49,64.723,63.956,63.189,62.422,61.655
Slovak Republic,SVK,21.9232,22.1936,22.464,23.108,23.752,24.396,25.04,25.684
Slovenia,SVN,4.9044,4.8172,4.73,4.5392,4.3484,4.1576,3.9668,3.776
Sweden,SWE,5.6526,5.5328,5.413,5.3456,5.2782,5.2108,5.1434,5.076
