CountryName,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,23512.6026,24985.99328,24713.69805,25025.09956,25533.56978,25796.38025,25239.60041,25630.26649,
Afghanistan,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,578.4663529,547.2281102,556.3021385,520.8966027
Angola,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3432.385736
Albania,4094.358816,4437.177794,4247.614342,4413.082887,4578.667934,3952.830781,4124.108543,4532.889198,5253.630064
Andorra,39736.35406,41100.72994,38392.9439,40626.75163,42300.33413,36039.6535,37224.10892,39134.39337,42029.76274
Arab World,5945.678558,6889.091806,7503.174184,7551.282834,7497.556427,6459.109379,6202.890459,6285.215228,6626.135357
United Arab Emirates,33893.30351,39194.67662,40976.49971,42412.63028,43751.83889,38663.38381,38141.84676,40325.382,43004.94865
Argentina,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14591.86338,11652.56629
Armenia,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4212.070943
American Samoa,10271.22452,10294.30227,11568.793,11505.39371,11525.15639,11843.33118,11714.89568,11398.77742,
Antigua and Barbuda,13092.07382,12795.56907,13399.23795,13035.09364,13780.78237,14526.58808,15494.30547,15824.66781,16864.38336
Australia,52022.1256,62517.83375,68012.1479,68150.10704,62510.79117,56748.42026,50019.96777,54093.60219,57305.29902
Austria,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44176.67174,45103.32981,47380.82964,51512.90548
Azerbaijan,5842.805784,7189.691229,7496.294648,7875.756953,7891.313147,5500.320497,3880.738731,4147.089716,4721.178087
Burundi,234.2356469,249.5779794,252.3589799,256.9760028,274.8579479,305.5497728,282.1496815,293.009062,275.4296033
Belgium,44380.17663,47743.78053,44826.43961,46680.38982,47355.31201,40441.05204,41449.09736,43507.2382,46556.09957
Benin,757.6959074,825.9403409,837.9429209,915.3156212,943.6746492,783.9630778,788.5491965,827.4298101,901.9540522
Burkina Faso,575.4464527,666.8401198,673.8215984,699.7794056,703.8200556,575.3144542,583.8326203,642.0404265,731.171717
Bangladesh,781.1535936,861.7584443,883.1050005,981.8398792,1118.853663,1248.453398,1401.620628,1563.994082,1698.262802
